Company Name,Industry,Symbol,Series,ISIN Code,Sector_Index
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,^CNXINFRA
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,^CNXENERGY
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,^CNXMETAL
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,^CNXENERGY
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,^CNXSERVICE
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029,^CNXENERGY
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,^CNXINFRA
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,^CNXPHARMA
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,^CNXCONSUM
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,^CNXCONSUM
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,^NSEBANK
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,^CNXAUTO
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032,^NSEBANK
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,^NSEBANK
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,^NSEBANK
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014,^NSEBANK
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,^NSEBANK
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,^CNXINFRA
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,^CNXENERGY
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,^CNXINFRA
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,^CNXAUTO
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,^CNXFMCG
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,^CNXINFRA
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,^NSEBANK
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,^NSEBANK
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,^CNXPHARMA
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,^CNXENERGY
DLF Ltd.,Realty,DLF,EQ,INE271C01023,^CNXREALTY
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,^CNXPHARMA
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031,^CNXPHARMA
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,^CNXAUTO
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015,^CNXCONSUM
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,^CNXENERGY
